OFFENSE_GROUP,DISTRICT,YEAR,MONTH,DAY,HOUR
Drug Violation,B2,2017,7,Wednesday,17
Drug Violation,D4,2017,7,Wednesday,15
Drug Violation,D4,2017,7,Wednesday,13
Drug Violation,D4,2017,7,Wednesday,13
Drug Violation,D4,2017,7,Wednesday,13
Drug Violation,D14,2017,7,Wednesday,9
Drug Violation,D4,2017,7,Wednesday,8
Drug Violation,D4,2017,7,Wednesday,8
Drug Violation,A1,2017,7,Wednesday,8
Drug Violation,B3,2017,7,Wednesday,7
Drug Violation,A1,2017,7,Wednesday,2
Drug Violation,B2,2017,7,Wednesday,1
Drug Violation,E13,2017,7,Wednesday,0
Drug Violation,E13,2017,7,Wednesday,0
Drug Violation,B3,2017,7,Tuesday,18
Drug Violation,D4,2017,7,Tuesday,18
Drug Violation,D4,2017,7,Tuesday,18
Drug Violation,E5,2017,7,Tuesday,18
Drug Violation,E5,2017,7,Tuesday,18
Drug Violation,D4,2017,7,Tuesday,16
Drug Violation,D4,2017,7,Tuesday,16
Drug Violation,D4,2017,7,Tuesday,16
Drug Violation,D4,2017,7,Tuesday,16
Drug Violation,B2,2017,7,Tuesday,17
Drug Violation,E5,2017,7,Tuesday,17
Drug Violation,C11,2017,7,Tuesday,16
Drug Violation,C11,2017,7,Tuesday,16
Drug Violation,B3,2017,7,Tuesday,16
Drug Violation,E5,2017,7,Tuesday,15
Drug Violation,E5,2017,7,Tuesday,15
Drug Violation,C11,2017,7,Tuesday,14
Drug Violation,B3,2017,7,Tuesday,8
Drug Violation,B3,2017,7,Monday,21
Drug Violation,B3,2017,7,Monday,21
Drug Violation,D4,2017,7,Monday,18
Drug Violation,D4,2017,7,Monday,18
Drug Violation,C6,2017,7,Monday,17
Drug Violation,C6,2017,7,Monday,17
Drug Violation,C6,2017,7,Monday,17
Drug Violation,A1,2017,7,Monday,17
Drug Violation,B2,2017,7,Monday,17
Drug Violation,A7,2017,7,Sunday,18
Drug Violation,C6,2017,7,Sunday,16
Drug Violation,C6,2017,7,Sunday,16
Drug Violation,C6,2017,7,Sunday,16
Drug Violation,C6,2017,7,Sunday,14
Drug Violation,C6,2017,7,Sunday,14
Drug Violation,B2,2017,7,Sunday,14
Drug Violation,B2,2017,7,Sunday,14
Drug Violation,B3,2017,7,Sunday,2
Drug Violation,B2,2017,7,Sunday,1
Drug Violation,E13,2017,7,Saturday,21
Drug Violation,A7,2017,7,Saturday,19
Drug Violation,C6,2017,7,Saturday,17
Drug Violation,D4,2017,7,Saturday,15
Drug Violation,C6,2017,7,Saturday,13
Drug Violation,C11,2017,7,Saturday,11
Drug Violation,B2,2017,7,Saturday,12
Drug Violation,B2,2017,7,Saturday,12
Drug Violation,B2,2017,7,Saturday,12
Drug Violation,D14,2017,7,Saturday,7
Drug Violation,D14,2017,7,Saturday,7
Drug Violation,A1,2017,7,Saturday,8
Drug Violation,C6,2017,7,Saturday,8
Drug Violation,A1,2017,7,Saturday,7
Drug Violation,A1,2017,7,Friday,19
Drug Violation,E13,2017,7,Friday,18
Drug Violation,A7,2017,7,Friday,16
Drug Violation,B2,2017,7,Friday,12
Drug Violation,B2,2017,7,Friday,12
Drug Violation,E5,2017,7,Friday,11
Drug Violation,B2,2017,7,Friday,11
Drug Violation,D4,2017,7,Friday,10
Drug Violation,D4,2017,7,Friday,10
Drug Violation,D4,2017,7,Friday,10
Drug Violation,D4,2017,7,Friday,10
Drug Violation,D14,2017,7,Friday,10
Drug Violation,A1,2017,7,Friday,10
Drug Violation,A1,2017,7,Friday,10
Drug Violation,D4,2017,7,Friday,9
Drug Violation,D4,2017,7,Friday,9
Drug Violation,C6,2017,7,Friday,8
Drug Violation,C6,2017,7,Friday,6
Drug Violation,E5,2017,7,Thursday,19
Drug Violation,D4,2017,7,Thursday,17
Drug Violation,D4,2017,7,Thursday,17
Drug Violation,D4,2017,7,Thursday,17
Drug Violation,E5,2017,7,Thursday,17
Drug Violation,C11,2017,7,Thursday,17
Drug Violation,C11,2017,7,Thursday,17
Drug Violation,D4,2017,7,Thursday,16
Drug Violation,D4,2017,7,Thursday,16
Drug Violation,A1,2017,7,Thursday,15
Drug Violation,A1,2017,7,Thursday,15
Drug Violation,A1,2017,7,Thursday,15
Drug Violation,A1,2017,7,Thursday,14
Drug Violation,A1,2017,7,Thursday,14
Drug Violation,A1,2017,7,Thursday,14
Drug Violation,C11,2017,7,Thursday,14
Drug Violation,C11,2017,7,Thursday,12
Drug Violation,D4,2017,7,Thursday,8
Drug Violation,D4,2017,7,Thursday,8
Drug Violation,A1,2017,7,Wednesday,20
Drug Violation,A1,2017,7,Wednesday,20
Drug Violation,B3,2017,7,Wednesday,20
Drug Violation,E13,2017,7,Wednesday,19
Drug Violation,C6,2017,7,Wednesday,18
Drug Violation,E5,2017,7,Wednesday,17
Drug Violation,C11,2017,7,Wednesday,13
Drug Violation,D4,2017,7,Wednesday,13
Drug Violation,D4,2017,7,Wednesday,13
Drug Violation,D4,2017,7,Wednesday,13
Drug Violation,D4,2017,7,Wednesday,13
Drug Violation,D4,2017,7,Wednesday,13
Drug Violation,D4,2017,7,Wednesday,13
Drug Violation,D4,2017,7,Wednesday,12
Drug Violation,D4,2017,7,Wednesday,12
Drug Violation,D4,2017,7,Wednesday,11
Drug Violation,B2,2017,7,Wednesday,9
Drug Violation,D4,2017,7,Wednesday,9
Drug Violation,D4,2017,7,Wednesday,9
Drug Violation,E5,2017,7,Wednesday,8
Drug Violation,A1,2017,7,Wednesday,1
Drug Violation,C11,2017,7,Tuesday,0
Drug Violation,B3,2017,7,Tuesday,21
Drug Violation,B3,2017,7,Tuesday,21
Drug Violation,E13,2017,7,Tuesday,19
Drug Violation,E13,2017,7,Tuesday,19
Drug Violation,E13,2017,7,Tuesday,19
Drug Violation,C11,2017,7,Tuesday,18
Drug Violation,D4,2017,7,Tuesday,19
Drug Violation,C11,2017,7,Tuesday,16
Drug Violation,C11,2017,7,Tuesday,16
Drug Violation,D14,2017,7,Tuesday,13
Drug Violation,D4,2017,7,Tuesday,7
Drug Violation,B2,2017,7,Tuesday,2
Drug Violation,B2,2017,7,Monday,21
Drug Violation,A1,2017,7,Monday,19
Drug Violation,B2,2017,7,Monday,19
Drug Violation,B2,2017,7,Monday,17
Drug Violation,C11,2017,7,Monday,17
Drug Violation,C11,2017,7,Monday,17
Drug Violation,D14,2017,7,Monday,18
Drug Violation,B2,2017,7,Monday,17
Drug Violation,B3,2017,7,Monday,17
Drug Violation,D14,2017,7,Monday,16
Drug Violation,C11,2017,7,Monday,16
Drug Violation,D4,2017,7,Monday,13
Drug Violation,D4,2017,7,Monday,13
Drug Violation,D4,2017,7,Monday,13
Drug Violation,D4,2017,7,Monday,7
Drug Violation,A1,2017,7,Sunday,18
Drug Violation,A1,2017,7,Sunday,18
Drug Violation,A1,2017,7,Sunday,18
Drug Violation,E13,2017,7,Sunday,12
Drug Violation,C6,2017,7,Sunday,11
Drug Violation,C11,2017,7,Sunday,16
Drug Violation,C11,2017,7,Sunday,11
Drug Violation,D4,2017,7,Sunday,2
Drug Violation,A7,2017,7,Saturday,19
Drug Violation,A7,2017,7,Saturday,19
Drug Violation,A7,2017,7,Saturday,18
Drug Violation,A7,2017,7,Saturday,17
Drug Violation,A1,2017,7,Saturday,18
Drug Violation,A1,2017,7,Saturday,18
Drug Violation,A1,2017,7,Saturday,18
Drug Violation,D4,2017,7,Saturday,18
Drug Violation,E5,2017,7,Saturday,16
Drug Violation,C6,2017,7,Saturday,14
Drug Violation,D4,2017,7,Saturday,16
Drug Violation,D4,2017,7,Saturday,16
Drug Violation,D4,2017,7,Saturday,16
Drug Violation,B2,2017,7,Saturday,9
Drug Violation,D14,2017,7,Saturday,9
Drug Violation,D14,2017,7,Saturday,9
Drug Violation,B2,2017,7,Friday,7
Drug Violation,D4,2017,7,Friday,17
Drug Violation,D4,2017,7,Friday,17
Drug Violation,A1,2017,7,Friday,15
Drug Violation,C11,2017,7,Friday,13
Drug Violation,E13,2017,7,Thursday,0
Drug Violation,E13,2017,7,Thursday,21
Drug Violation,D4,2017,7,Thursday,17
Drug Violation,D4,2017,7,Thursday,17
Drug Violation,D4,2017,7,Thursday,17
Drug Violation,D4,2017,7,Thursday,17
Drug Violation,D4,2017,7,Thursday,17
Drug Violation,A15,2017,7,Thursday,18
Drug Violation,A15,2017,7,Thursday,18
Drug Violation,A15,2017,7,Thursday,18
Drug Violation,E13,2017,7,Thursday,10
Drug Violation,C11,2017,7,Thursday,17
Drug Violation,C6,2017,7,Thursday,16
Drug Violation,C6,2017,7,Thursday,16
Drug Violation,A1,2017,7,Thursday,15
Drug Violation,D4,2017,7,Wednesday,17
Drug Violation,C11,2017,7,Wednesday,19
Drug Violation,B3,2017,7,Wednesday,18
Drug Violation,C6,2017,7,Wednesday,16
Drug Violation,A7,2017,7,Wednesday,15
Drug Violation,A7,2017,7,Wednesday,15
Drug Violation,A7,2017,7,Wednesday,15
Drug Violation,C6,2017,7,Wednesday,15
Drug Violation,A7,2017,7,Wednesday,12
Drug Violation,A15,2017,7,Wednesday,11
Drug Violation,C11,2017,7,Wednesday,10
Drug Violation,C11,2017,7,Wednesday,8
Drug Violation,C11,2017,7,Wednesday,8
Drug Violation,E13,2017,7,Tuesday,17
Drug Violation,E13,2017,7,Tuesday,17
Drug Violation,E13,2017,7,Tuesday,17
Drug Violation,B2,2017,7,Tuesday,21
Drug Violation,A7,2017,7,Tuesday,19
Drug Violation,B3,2017,7,Tuesday,19
Drug Violation,A7,2017,7,Tuesday,18
Drug Violation,E13,2017,7,Tuesday,17
Drug Violation,E13,2017,7,Tuesday,17
Drug Violation,E13,2017,7,Tuesday,17
Drug Violation,D14,2017,7,Tuesday,16
Drug Violation,C11,2017,7,Tuesday,16
Drug Violation,C11,2017,7,Tuesday,16
Drug Violation,D4,2017,7,Tuesday,8
Drug Violation,D4,2017,7,Tuesday,0
Drug Violation,C6,2017,7,Monday,18
Drug Violation,C6,2017,7,Monday,18
